Component,Category,File Path,LOC Est,Dependencies,Test File,Test Coverage %,Complexity,Status,Owner,Notes
extension.ts,Core,src/extension.ts,656,All services/commands/strategies,src/test/unit/extension.test.ts,40.12%,High,Active,DevTeam,Main activation - 22 tests passing
exportCommand.ts,Commands,src/commands/exportCommand.ts,358,cliExportStrategy|webExportStrategy|configManager|errorHandler,src/test/unit/commands/exportCommand.test.ts,81.63%,Medium,Active,DevTeam,Single file export - well tested
batchExportCommand.ts,Commands,src/commands/batchExportCommand.ts,773,batchExportEngine|diagramDiscoveryService|progressTracker,None,0%,High,Active,DevTeam,V1 implementation - needs tests
batchExportCommand.v2.ts,Commands,src/commands/batchExportCommand.v2.ts,1078,batchExportEngine|diagramDiscoveryService|progressTracker,None,1.07%,High,WIP,DevTeam,V2 refactor - experimental
debugCommand.ts,Commands,src/commands/debugCommand.ts,988,Both export strategies|fileProcessor|pathUtils,None,1.98%,High,Active,DevTeam,Diagnostic tool - needs tests
diagnosticsCommand.ts,Commands,src/commands/diagnosticsCommand.ts,207,configManager|cliExportStrategy|webExportStrategy,None,1.29%,Low,Active,DevTeam,Health check - needs tests
exportAllCommand.ts,Commands,src/commands/exportAllCommand.ts,462,batchExportEngine|diagramDiscoveryService,None,2.44%,Medium,Active,DevTeam,Workspace export - needs tests
exportPremiumCommand.ts,Commands,src/commands/exportPremiumCommand.ts,235,exportCommand|configManager,None,0%,Low,Planned,DevTeam,Future premium features
watchCommand.ts,Commands,src/commands/watchCommand.ts,364,exportCommand|configManager|fileSystemWatcher,None,3.67%,Medium,Active,DevTeam,Auto-export on save - needs tests
cliExportStrategy.ts,Strategies,src/strategies/cliExportStrategy.ts,336,@mermaid-js/mermaid-cli|pathUtils|fileProcessor,src/test/unit/strategies/cliExportStrategy.test.ts,82.47%,High,Active,DevTeam,Primary export - 8 tests passing
webExportStrategy.ts,Strategies,src/strategies/webExportStrategy.ts,416,mermaid.js|webviewUtils|canvg,src/test/unit/strategies/webExportStrategy.test.ts,79.69%,High,Active,DevTeam,Fallback export - 4 tests passing
batchExportEngine.ts,Services,src/services/batchExportEngine.ts,893,exportStrategy|progressTracker|errorHandler,src/test/unit/services/batchExportEngine.test.ts,51.56%,High,Active,DevTeam,Batch orchestration - 48 tests
diagramDiscoveryService.ts,Services,src/services/diagramDiscoveryService.ts,733,workspace API|pathUtils|validators,src/test/unit/services/diagramDiscoveryService.test.ts,92.77%,Medium,Active,DevTeam,File scanning - 26 tests passing
configManager.ts,Services,src/services/configManager.ts,112,vscode.workspace.getConfiguration,None,35.71%,Low,Active,DevTeam,Settings management - partial coverage
fileProcessor.ts,Services,src/services/fileProcessor.ts,9,fs|pathUtils,src/test/unit/services/fileProcessor.test.ts,100%,Low,Active,DevTeam,File operations - fully tested
formatPreferenceManager.ts,Services,src/services/formatPreferenceManager.ts,182,configManager|memento,None,18.60%,Low,Active,DevTeam,Usage tracking - needs more tests
